regional_number,daritel,act_id,date,suma,predmet,nadaren
41,"""ОББ"" АД",58,31.1.2011,1000,Компютърна техника,Второ РУП Ст. Загора
42,"""Ясистой"" ЕООД",59,02.2.2011,89500,Гориво,"С-р ""БОП"" при ОД МВР"
43,"""Анималс експрес - 75"" ЕООД",5323,14.2.2011,47600,Гориво,РУ Мъглиж при РУП Казанлък
44,"""Мебел стил"" ООД",5511,15.2.2011,12000,Гориво,РУП Казанлък
45,"""Катекс"" АД",5512,15.2.2011,42900,Резервни части,РУП Казанлък
47,"""Сплав комерс"" АД",72,16.2.2011,2000.00,Климатична техника,РУП Раднево
46,"""Казанлък"" АД",5585,16.2.2011,23500,Гориво,РУП Казанлък
48,"ПСК ""Ес Би ЕС""",78,22.2.2011,16620,Гориво,"с-р ""ПП"" при ОД МВР"
49,"ПФК ""Берое"" АД",83,24.2.2011,1200.00,Гориво,ОД на  МВР Ст. Загора
52,"""Завод за пружини"" АД",7556,08.3.2011,72600,Гориво,"""КП"" при РУП Казанлък"
51,"""Завод за пружини"" АД",7558,08.3.2011,36000,Гориво,"""КП"" при РУП Казанлък"
50,"""Завод за пружини"" АД",7566,08.3.2011,39000,Гориво,"""КП"" при РУП Казанлък"
53,"""МД Сервиз"" ООД",90,09.3.2011,24200,Гориво,РУП Гълъбово
54,"ПФК ""Берое"" АД",95,11.3.2011,1200.00,Парични средства,Първо РУП Ст. Загора
56,"ПФК ""Берое"" АД",191,15.3.2011,1500.00,Парични средства,ОД на  МВР Ст. Загора
55,"""Катекс"" АД",8351,15.3.2011,41550,Резервни части,РУП Казанлък
59,"""ТЕЦ Марица изток 2"" ЕАД",99,18.3.2011,14392.00,мотопеди,ОД на  МВР Ст. Загора
57,"""Булагро машини"" АД",100,18.3.2011,86992,Гориво,Второ РУП Ст. Загора
58,"""Мебел стил"" ООД",8851,18.3.2011,12250,Гориво,РУП Казанлък
60,"""Ким-2"" ЕООД",134,21.3.2011,13000,Гориво,"РУ ""Транспортна Полисия"""
61,"""Ким-2"" ЕООД",135,21.3.2011,10400,Гориво,"РУ ""Транспортна Полисия"""
62,"""3 S СОД"" АД",9611,22.3.2011,5000,Гориво,"""КП"" при РУП Казанлък"
63,"""3 S СОД"" АД",9612,22.3.2011,5000,Гориво,"""КП"" при РУП Казанлък"
65,"ЕТ ""Валентин Тонев""",142,22.3.2011,67500,Гориво,РУП Гълъбово
64,"СД ""Силика - Ангелови и сие""",143,22.3.2011,45000,Гориво,РУП Гълъбово
66,"""Казанлък"" АД",9677,23.3.2011,9800,Гориво,РУП Казанлък
67,"""Вигалекс"" ЕООД",9730,23.3.2011,18375,Гориво,РУ Гурково при РУП Казанлък
68,"""Вигалекс"" ЕООД",9732,23.3.2011,36527,Гориво,РУ Гурково при РУП Казанлък
69,"""Гуала глуджърс България"" АД",146,24.3.2011,15900,GPS,"С-р ""БОП"" ""Териториална Казанлък"""
70,"""Мултистрой груп"" ООД",9736,25.3.2011,24500,Гориво,РУ Павел баня при РУП Казанлък
71,"""Каст инвест"" ЕООД",152,29.3.2011,30000,Парични средства,"с-р ""ИП"" при ОД МВР"
72,Т.М.Б.,153,29.3.2011,50400,оръжие,ОД на  МВР Ст. Загора
73,МЕТА ИНВЕСТ,151,29.3.2011,10000,Офис техника,"""ПК"" при РУП Казанлък"
74,"""Анималс експрес - 75"" ЕООД",11503,30.3.2011,23800,Гориво,РУ Мъглиж при РУП Казанлък
76,"""Бенгаз"" ЕООД",11506,30.3.2011,23800,Гориво,РУ Мъглиж при РУП Казанлък
75,"""Бенгаз"" ЕООД",11512,30.3.2011,35700,Гориво,РУ Мъглиж при РУП Казанлък
77,"СИЦ ""Кол. Клуб Лястовица 1905""",162,31.3.2011,25000,Парични средства,РУП Казанлък
78,"ПФК ""Берое"" АД",163,31.3.2011,1200.00,Парични средства,ОД на  МВР Ст. Загора
79,"ЕТ ""Светлина-Ив.Чолпонов""",11644,31.3.2011,5000,Гориво,"""КП"" при РУП Казанлък"
81,"ЕТ ""Фантазия-Д.Грозев""",165,01.4.2011,58800,Климатична техника,РУП Раднево
80,"""Зара газ"" АД",166,01.4.2011,68810,Гориво,"С-р ""СОД"" при ОД МВР"
82,"""Викинг"" ООД",167,01.4.2011,18200,Офис техника,"С-р ""СОД"" при ОД МВР"
84,"""Метал харт"" ЕООД",12039,04.4.2011,17300,Гориво,"""КП"" при РУП Казанлък"
83,"""Метал харт"" ЕООД",12040,04.4.2011,12700,Гориво,"""КП"" при РУП Казанлък"
85,"""Джони ауто"" ЕООД",12344,06.4.2011,1343.50,Гориво,РУП Казанлък
86,"""Джони ауто"" ЕООД",12345,06.4.2011,17000,Гориво,РУП Казанлък
87,"""Казанлък"" АД",12523,08.4.2011,9800,Гориво,РУП Казанлък
88,"""Мебел стил"" ООД",12524,08.4.2011,9800,Гориво,РУП Казанлък
89,"""Катекс"" АД",13319,14.4.2011,49000,Гориво,РУП Казанлък
90,АМК-2002,9340,19.4.2011,18960,Гориво,РУП-СТ.Загора
91,"ПФК ""Берое"" АД",196,21.4.2011,3500.00,Парични средства,ОД на  МВР Ст. Загора
92,"""Гарант Божков и сие"" СД",197,28.4.2011,1360.00,оръжие,ОД на  МВР Ст. Загора
93,"ПФК ""Берое"" АД",207,03.5.2011,1400.00,Парични средства,ОД на  МВР Ст. Загора
94,"""Мебел стил"" ООД",16430,12.5.2011,10000,Гориво,РУП Казанлък
95,"""Анималс експрес - 75"" ЕООД",16431,12.5.2011,48200,Гориво,РУ Мъглиж при РУП Казанлък
96,ПСК Ес Би Ес,228,13.5.2011,2440,Гориво,"С-р ""ПП"" при ОД МВР"
97,"""Кинекс"" ЕООД",6518,17.5.2011,47000,Гориво,РУП Раднево
98,"КПТУ ""Извор""",259,01.6.2011,19680,Гориво,Второ РУП Ст. Загора
99,Т.М.,7397,06.6.2011,39000,"доставка и
монтаж РVC
дограма",РУП Раднево
100,"""Табак груп"" ООД",13183,09.6.2011,20000,"СМР текущ
ремонт на помещение на ОДЧ",Първо РУП Ст. Загора
101,"""Завод за пружини"" АД",20557,16.6.2011,36700,Гориво,"""КП"" при РУП Казанлък"
102,"ЧПК ''ПРОГРЕС""",20583,16.6.2011,7500,Гориво,РУ Гурково при РУП Казанлък
103,"""Мебел стил"" ООД",21356,23.6.2011,9800,Гориво,РУП Казанлък
104,"""КИМ – 2""   ЕООД",278,27.6.2011,14400,Гориво,"РУ ""Транспортна Полисия"""
105,"''Автотранс 99, ООД",22566,01.7.2011,31200,Гориво,РУП Казанлък
106,"""ЗАРА- ГАЗ"" ООД",292,01.7.2011,1277.62,Гориво,"С-р ""СОД"", ООП при ОД МВР"
107,"""Марс"" ООД",293,04.7.2011,94400,Гориво,РУП Чирпан
108,"""Анималс експрес-75” ЕООД",295,04.7.2011,48000,Гориво,РУ Мъглиж при РУП Казанлък
109,"""Бенгаз"" ЕООД",296,04.7.2011,38400,Гориво,РУ Мъглиж при РУП Казанлък
1,ЛЕСО ЕКСПОРТ-ИМПОРТ ,552,10.1.2011,6810,Гориво,ПУ Опака
2,"""ВИРДЖИНИЯ 2000"" ООД",555,10.1.2011,6810,Гориво,ПУ Опака
3,"ПК ""СЪГЛАСИЕ""",628,10.1.2011,6810,Гориво,ПУ Опака
4,"ЕТ ""ТЕЧЕВ"" ПОПОВО",554,10.1.2011,11577,Гориво,ПУ Опака
5,"""КРЕПОСТ 2001"" ЕООД с.КРЕПЧА",553,10.1.2011,6810,Гориво,ПУ Опака
6,"""ГИБЛА"" ЕООД ПОПОВО",551,10.1.2011,6810,Гориво,ПУ Опака
7,"ЕТ ""СЕВИ 2000"" с.ГОЛЯМО
ГРАДИЩЕ",550,10.1.2011,10215,Гориво,ПУ Опака
8,"""ЛУЦИФЕР"" ЕООД ТЪРГОВИЩЕ",4668,09.3.2011,25740,Консумативи,"РУ""ПОЛИЦИЯ""-Търговище"
9,"""ТРЕЙД"" ООД ТЪРГОВИЩЕ",4770,11.3.2011,28000,Резервни части,ОД НА МВР - Търговище
10,"""ЮЛИЯ ПРЕС 2006"" ТЪРГОВИЩЕ",5150,16.3.2011,66150,Гориво,ОД НА МВР - Търговище
11,"ДП ""ДГС"" ОМУРТАГ",5949,24.3.2011,26400,спортни екипи,"РУ""ПОЛИЦИЯ""-Омуртаг"
12,"""ПЪРГАВИНА"" ЕООД ТЪРГОВИЩЕ",6172,25.3.2011,35250,Гориво,ОД НА МВР - Търговище
13,"""ТРАНС-АУТО"" ТЪРГОВИЩЕ",6382,28.3.2011,9520,Гориво,ОД НА МВР - Търговище
14,"""РОДИНА"" ПОПОВО",6830,01.4.2011,17700,Гориво,"РУ""ПОЛИЦИЯ""-Попово"
15,"""ЗОРА-ММС"" ООД СОФИЯ",6913,04.4.2011,22900,Инвентар,ОД НА МВР - Търговище
16,Р.Р.Х.,7016,05.4.2011,7140,Гориво,ССОД - Омуртаг
17,"""ЛУЦИФЕР"" ЕООД ТЪРГОВИЩЕ",7417,11.4.2011,6703,Строителни материали,"РУ""ПОЛИЦИЯ""-Търговище"
18,Р.Р.Х.,10718,03.6.2011,7290,Гориво,ССОД - Омуртаг
19,"ЕТ ""АГРОТРОН-М-МЕЛИХА
ИСМАИЛ""",12127,23.6.2011,48000,Гориво,ОД НА МВР - Търговище
20,"""ЮЛИЯ ПРЕС 2006"" ТЪРГОВИЩЕ",12126,26.6.2011,89170,Гориво,ОД НА МВР - Търговище
1,"""Пътно поддържане Харманли"" ЕООД",22718,19.10.2009,36000,Гориво,РУП Тополовград
2,"""Евроферт"" АД",3387,10.2.2010,18000,Гориво,РУП Димитровград
3,"""Алъйънс    Уан    Табако    България""
ЕООД",5114,08.3.2010,48000,Гориво,КАТ Хасково
4,"""Евро-бизон"" АД",8387,16.4.2010,72000,Гориво,РУП Тополовград
5,Държавна дивечовъдна станция,8483,19.4.2010,42000,Гориво,РУП Тополовград
6,"""Пътстройинженеринг"" АД",9515,03.5.2010,76800,Гориво,РУП Ивайловград
7,"""Вулкан цимент"" АД",10626,18.5.2010,2316.00,Гориво,РУП Димитровград
8,Г.Б.Д.,19166,13.9.2010,1152.00,Гориво,РУП Ивайловград
9,"""Пътни строежи"" АД",25885,10.12.2010,90000,Гориво,РУП Хасково
10,"""Марин Батуров"" ЕООД",26018,14.12.2010,1000.00,Строителни материали,РУП Ивайловград
11,"""Стройко-2000"" ЕООД",26019,14.12.2010,2907.88,Строителни материали,РУП Хасково
12,"""Пим"" ООД",26021,14.12.2010,54000,Строителни материали,РУП Хасково
13,"ЕТ ""Марчела 90-Златко Марчев""",26020,14.12.2010,1408.80,Строителни материали,РУП Хасково
14,ВИК ООД Хасково,26520,20.12.2010,28800,Гориво,РУП Свиленград
15,"""ПСК Детелина"" ЕООД",26698,23.12.2010,32596.10,Строителни материали,РУП Хасково
16,"""Рони"" ЕООД",420,06.1.2011,72000,Гориво,РУП Харманли
17,"""Ти Ви Би"" ООД",1555,19.1.2011,2880.00,Гориво,РУП Димитровград
18,Община Маджарово,2028,26.1.2011,1440.00,Гориво,РУП Харманли
19,"""Иван Пенев"" ЕООД",2380,31.1.2011,21600,Гориво,РУП Хасково
20,Стил стандарт Кърджали,2379,31.1.2011,7200,Гориво,РУП Хасково
21,"ЕТ ""Мариани""",3401,10.2.2011,33600,Гориво,РУП Свиленград
22,"""Алъйънс    Уан    Табако    България""
ЕООД",4126,21.2.2011,1680.00,Гориво,РУП Хасково
23,"""Кириш"" ООД",4310,22.2.2011,1008.00,Гориво,РУП Свиленград
24,"""Вега"" ООД",4305,22.2.2011,57600,Гориво,РУП Хасково
25,"""Радиор"" ООД",4344,22.2.2011,72000,Гориво,РУП Хасково
26,РКС,4341,22.2.2011,14400,Гориво,РУП Хасково
27,"""Делена ДД"" ЕООД",4346,22.2.2011,1200.00,Гориво,РУП Хасково
28,"""Атлас"" АД",4348,22.2.2011,60000,Гориво,РУП Димитровград
29,"""Атлас"" АД",4679,25.2.2011,1200.00,Гориво,РУП Димитровград
30,Община Мин.Бани,4678,25.2.2011,42000,Гориво,РУП Хасково
31,"""Нова К"" ООД",4674,25.2.2011,28800,Гориво,РУП Свиленград
32,"""Неохим"" АД",4676,25.2.2011,1200.00,Гориво,РУП Димитровград
33,"""Кама"" ЕООД",5469,10.3.2011,24000,Гориво,РУП Свиленград
34,"""Евроферт"" АД",6032,18.3.2011,84000,Гориво,РУП Димитровград
35,ОБЩИНА МИН.БАНИ,9646,21.4.2011,36000,Гориво,РУП Хасково
36,ОБЩИНА СТАМБОЛОВО,128798,08.6.2011,57600,Гориво,РУП Хасково
37,"""Пи Ес Ай"" АД",14376,08.6.2011,36000,Гориво,РУП Тополовград
1,"""Пътно поддържане Нови пазар"" ООД",14994,25.6.2010,86220,Гориво,РУП-Нови пазар
2,"""Агроинженеринг"" ЕООД",27418,29.11.2010,2912.00,Гориво,РУП-Нови пазар
3,"""Нафтекс Петрол"" ЕООД",27963,06.12.2010,50000,Гориво,РУП-Нови пазар
4,"""Виас"" ЕООД",712,07.1.2011,80000,"ПВЦ прозорци
и врата",РУП-Шумен
5,"""Тича 96"" ООД",710,07.1.2011,15000,"вертикални
щори",РУП-Шумен
6,"""Теси"" ООД",714,07.1.2011,10320,"проточен
бойлер",РУП-Шумен
7,"""Алкомет"" АД",1242;1662,13/01/2011;18/01/2011,5419.00,Гориво,ОДМВР и ОЗПБС по разпределение
8,Л.С.Л.,1426,14.1.2011,6500,Авточасти,РУП-Каолиново
9,Л.С.Л.,1427,14.1.2011,10000,"масло и маслен
филтър и накрайник",РУП-Каолиново
10,"""Теси"" ООД",1509,17.1.2011,12700,радиатор,РУП-Шумен
11,"""Понки-ойл"" ЕООД",1516,17.1.2011,6900,Авточасти,РУП-Нови пазар
12,"""Дибо"" АД",2095,19.1.2011,3900,Офис техника,РУП-В.Преслав
13,"""Хан Омуртаг"" АД",2050,24.1.2011,6800,Компютърна техника,РУП-Шумен
14,"""ВИК Шумен"" ООД",2226,25.1.2011,97860,Канцеларски материали,ОДМВР-разпределение
15,"ППК ""Зора""",2745,31.1.2011,5000,Гориво,РУП-Шумен
16,"""Ал и Ко"" АД",4329,18.2.2011,11650,Гориво,РУП-Шумен
17,"""Каолин"" АД",4575,22.2.2011,26260,Гориво,РУП-Каолиново
18,А.Н.М.,4570,22.2.2011,5000,Гориво,РУП-Каолиново
19,Община Каолиново,4572,22.2.2011,10000,Гориво,РУП-Каолиново
20,"""Агроинженеринг"" ЕООД",7056,22.3.2011,37200,Гориво,РСПБЗН-Н.Пазар
21,А.И.И.,7030,22.3.2011,7080,Гориво,РУП-Каолиново
22,Ф.М.М.,7028,22.3.2011,40000,Гориво,РУП-Каолиново
23,Община Каолиново,7027,22.3.2011,10000,Гориво,РУП-Каолиново
24,"""Каолин"" АД",7031,22.3.2011,27007,Гориво,РУП-Каолиново
25,"ППК ""Хан Аспарух""",7058,22.3.2011,37050,Гориво,РСПБЗН-Н.Пазар
26,"""Брамас - 96"" АД",7342,28.3.2011,9359,Гориво,РУП-Шумен
27,"""Порта виста"" ООД",5174,28.3.2011,9748,"масло и
авточасти",РСПБЗН-В.Преслав
28,"""Дидис"" ООД",7647,30.3.2011,20060,Гориво,сектор ПИП
29,"Кооперация ВККЧЗС ""Надежда-96""",9024,15.4.2011,10000,Гориво,РУП-Н.пазар
30,Община Каолиново,9317,19.4.2011,10000,Гориво,РУП-Каолиново
31,"ЕТ ""Арко""",9318,19.4.2011,20000,Гориво,РУП-Каолиново
32,"""Каолин"" АД",9319,19.4.2011,25236,Гориво,РУП-Каолиново
33,"""Примекс"" ЕООД",10263,04.5.2011,1198.00,Авточасти,сектор ПП
34,"""Вега-06"" ООД",10836,11.5.2011,17700,Гориво,РУП-Каолиново
35,"""Вега-06"" ООД",10832,11.5.2011,32300,Авточасти,РУП-Каолиново
36,Община Каолиново,10833,11.5.2011,10000,Гориво,РУП-Каолиново
37,"""Каолин"" АД",10834,11.5.2011,25540,Гориво,РУП-Каолиново
38,"""Ивекс"" ЕООД",10835,11.5.2011,5000,Гориво,УП Н.Козлево
39,"""Хан Омуртаг"" АД",10976,13.5.2011,76320,"стенни и
подови плочки",РУП-Н.пазар
40,"""Билдинг строй експрес"" ЕООД",10957,13.5.2011,1161.13,Строителни материали,РУП-Шумен-КОС
41,"""Италфууд индъстри"" АД",10959,13.5.2011,11976,Офис обзавеждане,"ОА"" отдел  ""КП"
42,"""Ексит"" ЕООД",11490,25.5.2011,41000,Резервни части,сектор ООРТП
43,"""Стройкомплект Г"" ЕООД",12264,03.6.2011,85923,Строителни материали,РУП-Шумен-ОДЧ
44,"""ВИК"" ООД",12414,06.6.2011,67171,Строителни материали,РУП-Шумен-ОДЧ
45,"""Теси"" ООД",12695,08.6.2011,34680,Климатична техника,РУП-Шумен-ОДЧ
46,"""Елина-7"" ООД",12674,08.6.2011,1357.00,"ПВЦ дограма и
алуминиева врата",ОДМВР-разсл.полиция
47,"""Комата"" ООД",13491,20.6.2011,15000,Авточасти,"""ОП""-СПС"
48,"""Екомакс"" ООД",13493,20.6.2011,33000,Офис обзавеждане,ОДМВР-ОДЧ
49,"""Ал и Ко"" АД",13840,22.6.2011,12125,Гориво,"РУП Шумен-сектор ""КП"""
50,А.М.Х.,13928,23.6.2011,25000,Гориво,РУП -Каолиново
51,Ф.М.М.,13930,23.6.2011,50000,Резервни части,РУП-Каолиново
1,"""МКМ - Продукт"" ЕООД",537,10.1.2011,3051.35,Строителни материали,РУПБС - Стралджа
2,"ЕТ ""Астро-ЯН-Янко Георгиев""",3116,02.3.2011,69000,Гориво,РУП - Елхово
3,"""Банка ДСК"" АД",9412,23.6.2011,1000.00,Парични средства,ОД на МВР - Ямбол
1,С.К.С.,33-С-43,13.5.2010,2800.08,ремонт,"СДОТО, ТС-Русе"
2,"""ИПА""-секция България",33-С-52,23.6.2010,1380.00,Климатична техника,СДОТО
3,"""Химмаш"" АД",33-С-13,18.3.2011,68900,Компютърна техника,"СДОТО, ТС-Хасково"
1,"""БМВ"" ЕООД",ХМ-2251,02.3.2011,30000.00,Парични средства,"Дирекция ""Миграция"
1,С.К.С.,Договор №3,16.12.2010,97800,Офис техника,ДВС
2,"""БМВ"" ЕООД",Договор №Т-5029,04.2.2011,6734.40,Канцеларски материали,ДУССД
3,БТК АД,Договор № 28555,08.2.2011,13200,Офис техника,ДУССД
4,С.К.С.,Договор № 1,09.3.2011,1093.30,Офис техника,ДВС
5,ДП Български спортен тотализатор,Договор № Т-20701,04.5.2011,14922.00,Офис техника,СДОТО
1,ДАНС,Заповед №З-808,05.4.2011,6873.00,Офис обзавеждане,"Дирекция ""КИС"" - МВР"
Академия на МВР - дарен,,,,,,
1,"Българска браншова камара ""Пожарна
безопасност и спасяване""",Д-64,19.3.2011,50000,Парични средства,Академия на МВР
2,"""Лем Комерс"" ООД",Д-71,28.3.2011,3381.00,Офис обзавеждане,ЦСПП Пазарджик
3,"""Ай Ес Ди - България"" ЕООД",Д-87,09.5.2011,30000,Парични средства,Академия на МВР
4,"ЕТ ""Кузма Йорданов Кузманов""",Д-8031,25.5.2011,10000,Парични средства,ЦСПП Пазарджик
5,НАФТСО,Д-95,27.5.2011,50000,Парични средства,Академия на МВР
6,"ЕТ ""Ангел Барабаров""",Д-8369,30.5.2011,10000,Парични средства,ЦСПП Пазарджик
7,Книгообмен,"Актове за остойностяване на книги от
№1 до №39",31.5.2011,12056.03,"Книги и учебна
литература",Академия на МВР
8,Солти,Д-130,29.6.2011,21900,"Пожарогаси-
тел",Академия на МВР
1,"""Петрол Холдинг"" АД",55,03.2.2011,4046.40,Компютърна техника,"КВБТ,Домакинска служба"
2,"ТП ""Вьорваг Фарма""",61,08.2.2011,43210,медикаменти,За нуждите на МИ МВР
3,Инг банк НВ,79,15.2.2011,50000,Компютърна техника,Микробиологична лаборатория
4,Р.К.Д.,6653,09.3.2011,96514,Компютърна техника,Отделение по Хематология
5,Г.П.Г.,125,18.3.2011,55000,Инвентар,МИ МВР филиал Хисар
6,"""Зора ММС"" ООД",129,19.3.2011,77800,Инвентар,ОСКД
7,"""Вадим"" ООД",133,22.3.2011,44575,Инвентар,КАР
8,"ТП ""Вьорваг Фарма""",141,04.4.2011,37900,Компютърна техника,Отделение по кардиология
9,"""Агро спед"" ООД",143,04.4.2011,4980.00,"фиброколоноск
оп",Ендоскопски кабинет
10,С.Х.С.,145,28.4.2011,9199,Инвентар,МИ МВР филиал Варна
11,"""Ново Нордикс фарма"" ЕАД",149,02.5.2011,56900,Инвентар,Клиника по Ендокринология
12,"""Зора ММС"" ООД",163,02.6.2011,58900,Климатична техника,Отделение по Урология
13,"ТП ""Вьорваг Фарма""",169,07.6.2011,10000,медикаменти,Болнична аптека
14,"""Актавис"" ЕАД",167,07.6.2011,80800,медикаменти,Болнична аптека
